num_workers,eta,beta,alpha,alpha_pull,loss
1,0.002321,0.5,0.775,0.1,0.008010692243921654
1,0.002321,0.5,0.775,0.325,0.018065047225672457
1,0.002321,0.5,0.775,0.55,0.03193056029038876
1,0.002321,0.5,0.775,0.775,0.049442267188039415
1,0.002321,0.5,0.775,1.0,0.07146416945700866
1,0.002321,0.5,1.0,0.1,0.0069983198708241
1,0.002321,0.5,1.0,0.325,0.01387486588043272
1,0.002321,0.5,1.0,0.55,0.023083727302545584
1,0.002321,0.5,1.0,0.775,0.03453263376678609
1,0.002321,0.5,1.0,1.0,0.055399185119834445
1,0.002321,1.0,0.1,0.1,0.5885223286772164
1,0.002321,1.0,0.1,0.325,1.2812212980851225
1,0.002321,1.0,0.1,0.55,1.988269172802955
1,0.002321,1.0,0.1,0.775,2.2894749095319264
1,0.002321,1.0,0.1,1.0,2.7210345432239
1,0.002321,1.0,0.325,0.1,0.016370200357552742
1,0.002321,1.0,0.325,0.325,0.05710053401282282
1,0.002321,1.0,0.325,0.55,0.11848690156829216
1,0.002321,1.0,0.325,0.775,0.2010798382498543
1,0.002321,1.0,0.325,1.0,0.31691216339289174
1,0.002321,1.0,0.55,0.1,0.010108491107525189
1,0.002321,1.0,0.55,0.325,0.027307558900717805
1,0.002321,1.0,0.55,0.55,0.05193107826690942
1,0.002321,1.0,0.55,0.775,0.08341726107456543
1,0.002321,1.0,0.55,1.0,0.12362405508365011
1,0.002321,1.0,0.775,0.1,0.008010692243921654
1,0.002321,1.0,0.775,0.325,0.018065047225672457
1,0.002321,1.0,0.775,0.55,0.03193056029038876
1,0.002321,1.0,0.775,0.775,0.049442267188039415
1,0.002321,1.0,0.775,1.0,0.07146416945700866
1,0.002321,1.0,1.0,0.1,0.0069983198708241
1,0.002321,1.0,1.0,0.325,0.01387486588043272
1,0.002321,1.0,1.0,0.55,0.023083727302545584
1,0.002321,1.0,1.0,0.775,0.03453263376678609
1,0.002321,1.0,1.0,1.0,0.055399185119834445
1,0.002321,2.0,0.1,0.1,0.5885223286772164
1,0.002321,2.0,0.1,0.325,1.2812212980851225
1,0.002321,2.0,0.1,0.55,1.988269172802955
1,0.002321,2.0,0.1,0.775,2.2894749095319264
1,0.002321,2.0,0.1,1.0,2.7210345432239
1,0.002321,2.0,0.325,0.1,0.016370200357552742
1,0.002321,2.0,0.325,0.325,0.05710053401282282
1,0.002321,2.0,0.325,0.55,0.11848690156829216
1,0.002321,2.0,0.325,0.775,0.2010798382498543
1,0.002321,2.0,0.325,1.0,0.31691216339289174
1,0.002321,2.0,0.55,0.1,0.010108491107525189
1,0.002321,2.0,0.55,0.325,0.027307558900717805
1,0.002321,2.0,0.55,0.55,0.05193107826690942
1,0.002321,2.0,0.55,0.775,0.08341726107456543
